           0.      22.17524         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       677.341         INDEF       772.034         INDEF      -2.04232         INDEF         INDEF            0.      17.73202         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF      17.10247         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
         248.    0.02308178   0.001037669    0.06344204    0.01037669     0.6019531    0.02064712     -60.63799      1.275865       677.341      5.335497       772.034      3.654074  -2.351834E-4   5.168236E-5     0.2197535      3.968377      25.18852    0.04994113    0.04774597      34373.14      34872.43      9.756145      9.740487       70676      154870    0.02142945    0.02418443    0.03146414    0.02518403  -0.004170399    0.02414538    0.04261808    0.02475796         100          12          15           0   9.735116E-4      37.37975      117.3492      7864.819    0.01989919      31362.33      24.55897      24.72005      9.751285      9.850811   0.003217988      227.1774          186.     0.1513858     0.1755958   0.007176978   0.007865862
         256.    0.02426576   0.001961167     0.1203651    0.01951337     0.6139688    0.03217002     -60.88037      1.937209       677.341      8.803027       772.034      5.923401  -2.826824E-4   8.168090E-5     0.2889494            4.      25.13421    0.09149853     0.0843843      34416.16      34919.34      9.754787      9.739028       72420      161967     0.0469861    0.03973774      0.046633    0.04106581    0.04881228    0.04031866    0.04855558    0.03947014          99          11          15           0   0.001421663      38.04841      119.2923      7995.048    0.02104618      31398.68      24.50465       24.6592      9.749927      9.849553   0.003217921      232.7825          192.     0.1439967     0.1660231   0.007344815   0.008050555
         264.    0.02599799   0.001697738     0.1001564    0.01637239     0.6422781    0.02348323     -60.17702      1.363145       677.341      6.976777       772.034      4.708847  -3.022058E-4   7.051256E-5     0.2333263       4.03089      25.05934    0.07332271    0.06868228      34394.54      34968.11      9.755469      9.737513       71122      169129    0.03260799    0.03001674    0.02236708    0.03119102   5.637397E-4    0.03013221    0.02139933    0.02979091          93          12          15           0   4.034111E-4      37.42256      118.4235      7936.819    0.02259747      31380.23      24.42979      24.58199      9.750608      9.850192   0.003217951      228.6108          198.     0.1344042     0.1546279    0.00721777   0.007910977
         272.    0.02332894   8.429334E-4    0.04965117   0.008128955     0.6415228    0.01052704     -59.09766     0.6126489       677.341       3.21402       772.034      2.221623  -2.728415E-4   4.706565E-5     0.1725018      4.061086      25.17696    0.03995611    0.03853877      34489.97      35004.93      9.752461       9.73637       74919      176711   0.009026675    0.01334078   0.002847309    0.01368873    0.01289141    0.01382526    0.01128642    0.01318724          93          14          15           0   1.771094E-4      37.30693      122.1409      8185.959    0.02028053        31462.       24.5474      24.69944        9.7476      9.847365   0.003217827       240.814          204.     0.1497739     0.1722849   0.007581907   0.008311496
         280.    0.01793639   7.459106E-4    0.04574199   0.007384139     0.6208858     0.0116813     -58.73077     0.7036618       677.341      3.549945       772.034       2.48723  -1.936705E-4   4.104953E-5     0.2119555      4.090623      25.46235    0.04611845    0.04423754      34642.78      35047.75      9.747662      9.735043       82503      185018     0.0031965    0.01412717  -0.002192428    0.01439414  -0.007790386    0.01460524   0.005119822      0.013972          98          15          15           0   0.001230729      38.37341      129.3017      8665.882    0.01554984      31592.34       24.8328      24.98782      9.742801      9.842877    0.00321761      265.1881          210.     0.1947861     0.2246796   0.008312291   0.009114794
         288.    0.01654234   7.623413E-4    0.04723531     0.0075852     0.6211092    0.01425881     -60.99165     0.8549923       677.341      4.585545       772.034      3.005289  -1.652542E-4   4.126935E-5     0.2497326      4.119534       25.5502    0.05122425    0.04891739      34687.37      35072.64      9.746264      9.734272       85595      193670    0.01633679    0.01746538    0.02059745    0.01792324    0.01624514     0.0177302  -0.005825066    0.01680898          99          15          15           0   7.651611E-4      38.77926      132.9569      8910.854    0.01435836       31628.9      24.92065      25.07438      9.741405      9.841622   0.003217508      275.1255          216.      0.211193     0.2433149   0.008612625   0.009445353
         296.    0.01527106   8.503633E-4    0.05027859   0.008244579     0.6211092    0.01285656     -61.42097     0.7629548       677.341      4.241989       772.034      2.750563  -1.974232E-4   4.256581E-5     0.2156069      4.147849      25.63702    0.06220754    0.05883537      34737.87      35086.13      9.744685      9.733854       89164      202937    0.01886542    0.01557989   -0.01895357    0.01605081    0.03651903    0.01683849   0.005449946    0.01472396          94          21          15           0   0.001654314      37.19027      136.6501      9158.375    0.01327007      31671.13      25.00747      25.15996      9.739823      9.840173    0.00321741      286.5959          222.     0.2287664     0.2632603   0.008958581   0.009825953
         304.     0.0142968   0.001009225    0.06120365   0.009888349     0.6211092    0.01648498     -61.84133     0.9835627       677.341      5.677718       772.034      3.623862  -2.284004E-4   4.472712E-5     0.1958277      4.175595       25.7086    0.07948306     0.0740586      34789.03       35102.3      9.743087      9.733354       92778      212330     0.0245919    0.02033551   8.835981E-4    0.01987711    0.00756035    0.01968307    0.02829233    0.02019805          96          20          15           0   0.001220352      38.30956      140.3434      9405.896    0.01244436      31714.22      25.07904      25.22971      9.738226      9.838696   0.003217317      298.2109          228.     0.2443476     0.2807193   0.009307874    0.01021021
         312.    0.01602309   7.528339E-4     0.0449054   0.007298995     0.6450419     0.0106253     -62.80699     0.6015117       677.341      3.925768       772.034      2.406108  -1.915114E-4   3.918703E-5     0.2046199      4.202799      25.58483    0.05224979    0.04985056      34751.14      35114.46       9.74427      9.732978       90707      221441   0.001762018    0.01299679   0.003866871    0.01390618    0.01589072    0.01391623   0.001905747    0.01312181          94          18          15           0    0.00100245      37.85044      139.4134      9343.565    0.01400353      31680.55      24.95527      25.10155      9.739409       9.83985    0.00321734      291.5549          234.      0.218025     0.2494666    0.00911009   0.009992979
         320.   0.009957515   0.001135702    0.07193486    0.01130009     0.6145641    0.04181946     -61.57937      2.510714       677.341      14.86447       772.034      9.586975  -9.566381E-5   4.686053E-5      0.489846      4.229485      26.10132      0.131482     0.1172672      34900.55      35123.37      9.739613      9.732702      102064      229316    0.05675062     0.0567855   -0.04868039    0.05432614   0.005639785    0.04788893    0.09252127    0.06626166          99          20          15           0   0.001622978      40.52423      149.0004      9986.098   0.008609291      31808.55      25.47176      25.62972      9.734752      9.835472   0.003217119      328.0551          240.      0.350803     0.4057375     0.0102065    0.01119856
